,County,Precinct,Registered Voters
0,APPLING,1B,1337
1,APPLING,1C,864
2,APPLING,2,2321
3,APPLING,3A1,821
4,APPLING,3C,1614
5,APPLING,4B,894
6,APPLING,4D,1532
7,APPLING,5A,1177
8,APPLING,5B,1179
9,ATKINSON,0001,1824
10,ATKINSON,0002,739
11,ATKINSON,0003,1331
12,ATKINSON,0004,933
13,BACON,99999,5
14,BACON,DOUGL,6858
15,BAKER,A,167
16,BAKER,E,400
17,BAKER,H,366
18,BAKER,M,272
19,BAKER,N,1047
20,BALDWIN,1714,1138
21,BALDWIN,318,3570
22,BALDWIN,319,1903
23,BALDWIN,321E,1328
24,BALDWIN,321W,2972
25,BALDWIN,322,1562
26,BALDWIN,CTY1,1277
27,BALDWIN,CTY2,969
28,BALDWIN,CTY3,1411
29,BALDWIN,CTY4,500
30,BALDWIN,CTY5,1485
31,BALDWIN,CTY6,2243
32,BALDWIN,MERI,2944
33,BALDWIN,MONT,3913
34,BANKS,0001,1581
35,BANKS,0002,893
36,BANKS,0003,437
37,BANKS,0004,852
38,BANKS,0005,362
39,BANKS,0006,2020
40,BANKS,0007,1036
41,BANKS,0008,636
42,BANKS,0009,688
43,BANKS,0010,1605
44,BANKS,0011,1827
45,BANKS,0012,733
46,BANKS,0013,648
47,BANKS,88888,1
48,BARROW,01,3481
49,BARROW,02,6988
50,BARROW,03,6541
51,BARROW,04,4081
52,BARROW,05,8675
53,BARROW,08,7226
54,BARROW,13,9739
55,BARROW,16,10661
56,BARROW,88888,1
57,BARTOW,01,7263
58,BARTOW,02,4872
59,BARTOW,03,7055
60,BARTOW,04,8271
61,BARTOW,05,4640
62,BARTOW,06,4130
63,BARTOW,07,3153
64,BARTOW,08,5533
65,BARTOW,09,1491
66,BARTOW,10,2767
67,BARTOW,11,4121
68,BARTOW,12,2186
69,BARTOW,14,2917
70,BARTOW,15,2800
71,BARTOW,16,6653
72,BARTOW,17,6787
73,BARTOW,18,1944
74,BARTOW,88888,3
75,BARTOW,99999,12
76,BEN HILL,1,4073
77,BEN HILL,2,6142
78,BEN HILL,88888,3
79,BEN HILL,99999,3
80,BERRIEN,11062,1022
81,BERRIEN,1144,2040
82,BERRIEN,1157,6314
83,BERRIEN,1642,1152
84,BERRIEN,518,1166
85,BERRIEN,88888,2
86,BERRIEN,99999,1
87,BIBB,88888,5
