,County,Precinct,Registered Voters
0,Appling,1B,1309
1,Appling,1C,848
2,Appling,2,2251
3,Appling,3A1,793
4,Appling,3C,1566
5,Appling,4B,866
6,Appling,4D,1493
7,Appling,5A,1147
8,Appling,5B,1126
9,Atkinson,Pearson County,1802
10,Atkinson,Axson,742
11,Atkinson,Willacoochee,1311
12,Atkinson,Pearson City,944
13,Bacon,Douglas,6720
14,Baker,Douglas,6720
15,Baldwin,South Milledgeville,1259
16,Baldwin,City Hall Annex,957
17,Baldwin,Boddie,1381
18,Baldwin,Courthouse,506
19,Baldwin,Fire Dept,1481
20,Baldwin,North Milledgeville,2211
21,Baldwin,Meriweather,2832
22,Baldwin,East Baldwin,3826
23,Baldwin,Scottsboro,1101
24,Baldwin,North Baldwin,3515
25,Baldwin,West Baldwin,1862
26,Baldwin,East Hardwick,1313
27,Baldwin,West Hardwick,2903
28,Baldwin,Coopers,1574
29,Banks,Anderson,1533
30,Banks,Baldwin,876
31,Banks,Berlin,415
32,Banks,Bushville,816
33,Banks,Columbia,363
34,Banks,Davids,1977
35,Banks,Golden Hill,1008
36,Banks,Grove River,600
37,Banks,Hollingsworth,667
38,Banks,Homer,1544
39,Banks,Poplar Springs,1775
40,Banks,Washington,704
41,Banks,Wilmonts,620
42,Barrow,01 Bethlehem Community Center,3359
43,Barrow,02 Bethlehem Church - 211,6784
44,Barrow,03 Hmong New Hope Alliance Church ,6364
45,Barrow,04 Covenant Life Sanctuary ,4012
46,Barrow,05 Fire Station 1 (Statham),8336
47,Barrow,08 First Baptist Church Winder,7009
48,Barrow,13 Winder Community Center,9393
49,Barrow,16 The Church at Winder,10348
50,Bartow,Adairsville,6995
51,Bartow,Allatoona,4729
52,Bartow,Cartersville East,6805
53,Bartow,Cartersville West,8129
54,Bartow,Cassville,4588
55,Bartow,Center,4007
56,Bartow,Emerson,3122
57,Bartow,Euharlee,5322
58,Bartow,Folsom,1448
59,Bartow,Hamilton Crossing,6598
60,Bartow,Kingston,2674
61,Bartow,Mission Road,4012
62,Bartow,Pine Log,2132
63,Bartow,Taylorsville,2829
64,Bartow,White,2723
65,Bartow,Zena Drive,6431
66,Bartow,Woodland,1865
67,Ben Hill,East,3956
68,Ben Hill,West,5898
69,Berrien,West Berrien,999
70,Berrien,Ray City,1946
71,Berrien,Nashville,6079
72,Berrien,Enigma,1111
73,Berrien,Alapaha,1140
74,Bibb,East Macon 1,2108
75,Bibb,East Macon 2,3932
76,Bibb,East Macon 3,3494
77,Bibb,East Macon 4,2280
78,Bibb,East Macon 5,2552
79,Bibb,Godfrey 1,6283
80,Bibb,Godfrey 2,2158
81,Bibb,Godfrey 3,3292
82,Bibb,Godfrey 4,2231
83,Bibb,Godfrey 5,4761
84,Bibb,Hazzard 1,3377
85,Bibb,Hazzard 2,4173
86,Bibb,Hazzard 3,7068
87,Bibb,Hazzard 4,4745
88,Bibb,Howard 1,3436
89,Bibb,Howard 2,3394
90,Bibb,Howard 3,6397
91,Bibb,Howard 4,1711
92,Bibb,Howard 5,2272
93,Bibb,Howard 6,2213
94,Bibb,Howard 7,2897
95,Bibb,Rutland 1,5704
96,Bibb,Rutland 2,3409
97,Bibb,Vineville 1,3572
98,Bibb,Vineville 2,2067
99,Bibb,Vineville 3,3127
100,Bibb,Vineville 4,4097
101,Bibb,Vineville 5,2359
102,Bibb,Vineville 6,3021
103,Bibb,Warrior 1,2617
104,Bibb,Warrior 2,3232
105,Bleckley,Fairground,0
